data_as_of,year,month,st_abbrev,state_name,countyname,fips,statefips,countyfips,code2013,provisional_drug_overdose,percentage_of_records_pending,monthendingdate,start_date,end_date,footnote,historicaldatacompletenessnote
2026-01-11T00:00:00.000,2020,1,CA,California,Alameda,6001,06,001,1,260,0.039381707197007,2020-01-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,2,CA,California,Alameda,6001,06,001,1,267,0.0391427732654859,2020-02-29T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,3,CA,California,Alameda,6001,06,001,1,266,0.0390434358223524,2020-03-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,4,CA,California,Alameda,6001,06,001,1,275,0.0289240262244504,2020-04-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,5,CA,California,Alameda,6001,06,001,1,286,0.0284792101765711,2020-05-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,6,CA,California,Alameda,6001,06,001,1,288,0.0286150324303701,2020-06-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,7,CA,California,Alameda,6001,06,001,1,303,0.0188786105342647,2020-07-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,8,CA,California,Alameda,6001,06,001,1,312,0.0185994606156421,2020-08-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,9,CA,California,Alameda,6001,06,001,1,314,0.045875768419121,2020-09-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,10,CA,California,Alameda,6001,06,001,1,322,0.0731595793324188,2020-10-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,11,CA,California,Alameda,6001,06,001,1,318,0.0637174585836519,2020-11-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2020,12,CA,California,Alameda,6001,06,001,1,320,0.106790068523627,2020-12-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,1,CA,California,Alameda,6001,06,001,1,326,0.137492480879952,2021-01-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,2,CA,California,Alameda,6001,06,001,1,326,0.145361265498076,2021-02-28T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,3,CA,California,Alameda,6001,06,001,1,336,0.195794670979825,2021-03-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,4,CA,California,Alameda,6001,06,001,1,336,0.255994538783173,2021-04-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,5,CA,California,Alameda,6001,06,001,1,338,0.282873307046117,2021-05-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,6,CA,California,Alameda,6001,06,001,1,341,0.290896646132786,2021-06-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,7,CA,California,Alameda,6001,06,001,1,343,0.344086021505376,2021-07-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,8,CA,California,Alameda,6001,06,001,1,349,0.397099447513812,2021-08-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,9,CA,California,Alameda,6001,06,001,1,343,0.425642807505212,2021-09-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,10,CA,California,Alameda,6001,06,001,1,336,0.441405573827246,2021-10-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,11,CA,California,Alameda,6001,06,001,1,336,0.504347826086956,2021-11-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2021,12,CA,California,Alameda,6001,06,001,1,332,0.505229569225315,2021-12-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,1,CA,California,Alameda,6001,06,001,1,337,0.485393258426966,2022-01-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,2,CA,California,Alameda,6001,06,001,1,343,0.474018424112333,2022-02-28T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,3,CA,California,Alameda,6001,06,001,1,333,0.449680726684054,2022-03-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,4,CA,California,Alameda,6001,06,001,1,327,0.398659055902872,2022-04-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,5,CA,California,Alameda,6001,06,001,1,327,0.380572671257702,2022-05-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,6,CA,California,Alameda,6001,06,001,1,327,0.379061371841155,2022-06-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,7,CA,California,Alameda,6001,06,001,1,325,0.33321325648415,2022-07-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,8,CA,California,Alameda,6001,06,001,1,318,0.28930476448784,2022-08-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,9,CA,California,Alameda,6001,06,001,1,321,0.23472059221811,2022-09-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,10,CA,California,Alameda,6001,06,001,1,326,0.200163770357565,2022-10-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,11,CA,California,Alameda,6001,06,001,1,326,0.135660667450484,2022-11-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2022,12,CA,California,Alameda,6001,06,001,1,331,0.116822429906542,2022-12-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,1,CA,California,Alameda,6001,06,001,1,328,0.109769484083425,2023-01-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,2,CA,California,Alameda,6001,06,001,1,335,0.110436223081171,2023-02-28T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,3,CA,California,Alameda,6001,06,001,1,348,0.0823421774931381,2023-03-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,4,CA,California,Alameda,6001,06,001,1,362,0.0732667826724059,2023-04-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,5,CA,California,Alameda,6001,06,001,1,369,0.0732734933137937,2023-05-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,6,CA,California,Alameda,6001,06,001,1,377,0.0733205022454404,2023-06-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,7,CA,California,Alameda,6001,06,001,1,386,0.0646352723915051,2023-07-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,8,CA,California,Alameda,6001,06,001,1,392,0.0741427247451344,2023-08-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,9,CA,California,Alameda,6001,06,001,1,407,0.074245939675174,2023-09-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,10,CA,California,Alameda,6001,06,001,1,418,0.0645935221924887,2023-10-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,11,CA,California,Alameda,6001,06,001,1,421,0.073909830007391,2023-11-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2023,12,CA,California,Alameda,6001,06,001,1,414,0.0560014933731566,2023-12-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,1,CA,California,Alameda,6001,06,001,1,421,0.0558087619756302,2024-01-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,2,CA,California,Alameda,6001,06,001,1,421,0.0565717518385819,2024-02-29T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,3,CA,California,Alameda,6001,06,001,1,417,0.066344422329637,2024-03-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,4,CA,California,Alameda,6001,06,001,1,411,0.0663067159230842,2024-04-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,5,CA,California,Alameda,6001,06,001,1,407,0.0569746462824043,2024-05-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,6,CA,California,Alameda,6001,06,001,1,395,0.0477326968973747,2024-06-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,7,CA,California,Alameda,6001,06,001,1,382,0.047317119333775,2024-07-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,8,CA,California,Alameda,6001,06,001,1,372,0.0283714772082466,2024-08-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,9,CA,California,Alameda,6001,06,001,1,352,0.0285632676378178,2024-09-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,10,CA,California,Alameda,6001,06,001,1,344,0.0380879832412874,2024-10-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,11,CA,California,Alameda,6001,06,001,1,337,0.0286368843069874,2024-11-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2024,12,CA,California,Alameda,6001,06,001,1,336,0.019133263178035,2024-12-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2025,1,CA,California,Alameda,6001,06,001,1,333,0.0191424196018377,2025-01-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2025,2,CA,California,Alameda,6001,06,001,1,322,0.0189376006060032,2025-02-28T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2025,3,CA,California,Alameda,6001,06,001,1,327,0.0189018051223892,2025-03-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2025,4,CA,California,Alameda,6001,06,001,1,322,0.0189214758751183,2025-04-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
2026-01-11T00:00:00.000,2025,5,CA,California,Alameda,6001,06,001,1,312,0.0378823752249266,2025-05-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,,
