data_as_of,year,month,st_abbrev,state_name,countyname,fips,statefips,countyfips,code2013,footnote,percentage_of_records_pending,monthendingdate,start_date,end_date,provisional_drug_overdose
2026-01-11T00:00:00.000,2020,1,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-01-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,2,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-02-29T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,3,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-03-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,4,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-04-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,5,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-05-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,6,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-06-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,7,KS,Kansas,Allen,20001,20,001,6,,0,2020-07-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,0
2026-01-11T00:00:00.000,2020,8,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-08-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,9,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-09-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,10,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-10-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,11,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-11-30T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2020,12,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2020-12-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2021,1,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2021-01-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2021,2,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2021-02-28T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
2026-01-11T00:00:00.000,2021,3,KS,Kansas,Allen,20001,20,001,6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,2021-03-31T00:00:00.000,2020-01-31T00:00:00.000,2025-06-30T00:00:00.000,
