step,forecast,lower_ci,upper_ci,weight_linear,weight_holt,weight_arima
1,8577.54,7055.35,10099.74,0.08,0.195,0.725
2,8532.0,6936.98,10127.03,0.08,0.195,0.725
3,8484.59,6813.64,10155.54,0.08,0.195,0.725
4,8436.13,6686.94,10185.32,0.08,0.195,0.725
5,8387.33,6558.15,10216.52,0.08,0.195,0.725
6,8338.83,6428.31,10249.34,0.08,0.195,0.725
7,8291.13,6298.25,10284.02,0.08,0.195,0.725
8,8244.67,6168.56,10320.79,0.08,0.195,0.725
9,8199.76,6039.68,10359.85,0.08,0.195,0.725
10,8156.64,5911.92,10401.37,0.08,0.195,0.725
11,8115.48,5785.47,10445.49,0.08,0.195,0.725
12,8076.35,5660.4,10492.3,0.08,0.195,0.725
13,8039.28,5536.72,10541.84,0.08,0.195,0.725
14,8004.25,5414.37,10594.13,0.08,0.195,0.725
15,7971.17,5293.24,10649.11,0.08,0.195,0.725
16,7939.93,5173.17,10706.69,0.08,0.195,0.725
17,7910.39,5054.01,10766.78,0.08,0.195,0.725
18,7882.4,4935.59,10829.22,0.08,0.195,0.725
