date,value
2020-01-01,6252.0
2020-02-01,6376.0
2020-03-01,6515.0
2020-04-01,6716.0
2020-05-01,6971.0
2020-06-01,7176.0
2020-07-01,7531.0
2020-08-01,7932.0
2020-09-01,8154.0
2020-10-01,8398.0
2020-11-01,8597.0
2020-12-01,8839.0
2021-01-01,9214.0
2021-02-01,9442.0
2021-03-01,9714.0
2021-04-01,9965.0
2021-05-01,10120.0
2021-06-01,10312.0
2021-07-01,10419.0
2021-08-01,10403.0
2021-09-01,10587.0
2021-10-01,10712.0
2021-11-01,10824.0
2021-12-01,10863.0
2022-01-01,10805.0
2022-02-01,10897.0
2022-03-01,10886.0
2022-04-01,10834.0
2022-05-01,10787.0
2022-06-01,10761.0
2022-07-01,10770.0
2022-08-01,10767.0
2022-09-01,10818.0
2022-10-01,10809.0
2022-11-01,10809.0
2022-12-01,10906.0
2023-01-01,11009.0
2023-02-01,11002.0
2023-03-01,11160.0
2023-04-01,11244.0
2023-05-01,11419.0
2023-06-01,11433.0
2023-07-01,11559.0
2023-08-01,11584.0
2023-09-01,11475.0
2023-10-01,11469.0
2023-11-01,11416.0
2023-12-01,11341.0
2024-01-01,11166.0
2024-02-01,11075.0
2024-03-01,10885.0
2024-04-01,10676.0
2024-05-01,10389.0
2024-06-01,10282.0
2024-07-01,9953.0
2024-08-01,9669.0
2024-09-01,9444.0
2024-10-01,9280.0
2024-11-01,9149.0
2024-12-01,8989.0
2025-01-01,8884.0
2025-02-01,8789.0
2025-03-01,8726.0
2025-04-01,8707.0
2025-05-01,8624.0
2025-06-01,8491.0
