month,overdose_rate_baseline,overdose_rate_scenario
0,8491.0,8203.153
1,8635.347,8341.367
2,8745.567,8396.643
3,8796.676,8322.148
4,8779.531,8070.963
5,8703.275,7736.253
6,8592.892,7383.18
7,8482.509,7005.386
8,8406.253,6702.2
9,8389.108,6507.585
10,8440.217,6388.06
11,8550.437,6347.349
12,8694.784,6389.423
13,8839.131,6440.694
14,8949.351,6507.007
15,9000.46,6515.03
16,8983.315,6493.674
17,8907.059,6443.929
18,8796.676,6339.59
19,8686.293,6268.713
20,8610.037,6227.482
21,8592.892,6198.393
22,8644.001,6224.066
23,8754.221,6301.933
