source,target,timestamp,weight,relation
CA,CA_overdose,2025-01-01,1.0,has_event
CA,CA_ews,2025-01-01,1.0,has_risk
CA,CA_income,2025-01-01,0.263,has_context
CA,CA_nida,2025-01-01,0.6,has_context
CA,CA_trends,2025-01-01,0.397,has_trend
CA_income,CA_ews,2025-01-01,0.039,influences
CA_nida,CA_ews,2025-01-01,0.15,influences
CA_trends,CA_ews,2025-01-01,0.04,influences
CA,CA_overdose,2025-02-01,1.0,has_event
CA,CA_ews,2025-02-01,0.989,has_risk
CA,CA_income,2025-02-01,0.263,has_context
CA,CA_nida,2025-02-01,0.6,has_context
CA,CA_trends,2025-02-01,0.397,has_trend
CA_income,CA_ews,2025-02-01,0.039,influences
CA_nida,CA_ews,2025-02-01,0.15,influences
CA_trends,CA_ews,2025-02-01,0.04,influences
CA,CA_overdose,2025-03-01,1.0,has_event
CA,CA_ews,2025-03-01,0.982,has_risk
CA,CA_income,2025-03-01,0.263,has_context
CA,CA_nida,2025-03-01,0.6,has_context
CA,CA_trends,2025-03-01,0.397,has_trend
CA_income,CA_ews,2025-03-01,0.039,influences
CA_nida,CA_ews,2025-03-01,0.15,influences
CA_trends,CA_ews,2025-03-01,0.04,influences
CA,CA_overdose,2025-04-01,1.0,has_event
CA,CA_ews,2025-04-01,0.98,has_risk
CA,CA_income,2025-04-01,0.263,has_context
CA,CA_nida,2025-04-01,0.6,has_context
CA,CA_trends,2025-04-01,0.397,has_trend
CA_income,CA_ews,2025-04-01,0.039,influences
CA_nida,CA_ews,2025-04-01,0.15,influences
CA_trends,CA_ews,2025-04-01,0.04,influences
CA,CA_overdose,2025-05-01,1.0,has_event
CA,CA_ews,2025-05-01,0.971,has_risk
CA,CA_income,2025-05-01,0.263,has_context
CA,CA_nida,2025-05-01,0.6,has_context
CA,CA_trends,2025-05-01,0.397,has_trend
CA_income,CA_ews,2025-05-01,0.039,influences
CA_nida,CA_ews,2025-05-01,0.15,influences
CA_trends,CA_ews,2025-05-01,0.04,influences
CA,CA_overdose,2025-06-01,1.0,has_event
CA,CA_ews,2025-06-01,0.956,has_risk
CA,CA_income,2025-06-01,0.263,has_context
CA,CA_nida,2025-06-01,0.6,has_context
CA,CA_trends,2025-06-01,0.397,has_trend
CA_income,CA_ews,2025-06-01,0.039,influences
CA_nida,CA_ews,2025-06-01,0.15,influences
CA_trends,CA_ews,2025-06-01,0.04,influences
