source,target,timestamp,weight,relation
KS,KS_overdose,2025-01-01,1.0,has_event
KS,KS_ews,2025-01-01,0.985,has_risk
KS,KS_income,2025-01-01,0.526,has_context
KS,KS_nida,2025-01-01,0.51,has_context
KS,KS_social,2025-01-01,0.012,has_social_signal
KS_income,KS_ews,2025-01-01,0.079,influences
KS_nida,KS_ews,2025-01-01,0.127,influences
KS_social,KS_ews,2025-01-01,0.002,influences
KS,KS_overdose,2025-02-01,1.0,has_event
KS,KS_ews,2025-02-01,1.0,has_risk
KS,KS_income,2025-02-01,0.526,has_context
KS,KS_nida,2025-02-01,0.51,has_context
KS,KS_social,2025-02-01,0.012,has_social_signal
KS_income,KS_ews,2025-02-01,0.079,influences
KS_nida,KS_ews,2025-02-01,0.127,influences
KS_social,KS_ews,2025-02-01,0.002,influences
KS,KS_overdose,2025-03-01,1.0,has_event
KS,KS_ews,2025-03-01,0.89,has_risk
KS,KS_income,2025-03-01,0.526,has_context
KS,KS_nida,2025-03-01,0.51,has_context
KS,KS_social,2025-03-01,0.012,has_social_signal
KS_income,KS_ews,2025-03-01,0.079,influences
KS_nida,KS_ews,2025-03-01,0.127,influences
KS_social,KS_ews,2025-03-01,0.002,influences
KS,KS_overdose,2025-04-01,1.0,has_event
KS,KS_ews,2025-04-01,0.949,has_risk
KS,KS_income,2025-04-01,0.526,has_context
KS,KS_nida,2025-04-01,0.51,has_context
KS,KS_social,2025-04-01,0.012,has_social_signal
KS_income,KS_ews,2025-04-01,0.079,influences
KS_nida,KS_ews,2025-04-01,0.127,influences
KS_social,KS_ews,2025-04-01,0.002,influences
KS,KS_overdose,2025-05-01,1.0,has_event
KS,KS_ews,2025-05-01,0.912,has_risk
KS,KS_income,2025-05-01,0.526,has_context
KS,KS_nida,2025-05-01,0.51,has_context
KS,KS_social,2025-05-01,0.012,has_social_signal
KS_income,KS_ews,2025-05-01,0.079,influences
KS_nida,KS_ews,2025-05-01,0.127,influences
KS_social,KS_ews,2025-05-01,0.002,influences
KS,KS_overdose,2025-06-01,1.0,has_event
KS,KS_ews,2025-06-01,0.926,has_risk
KS,KS_income,2025-06-01,0.526,has_context
KS,KS_nida,2025-06-01,0.51,has_context
KS,KS_social,2025-06-01,0.012,has_social_signal
KS_income,KS_ews,2025-06-01,0.079,influences
KS_nida,KS_ews,2025-06-01,0.127,influences
KS_social,KS_ews,2025-06-01,0.002,influences
