date,mean_interest,category
2025-03-30,40.0,opioid
2025-04-06,34.666666666666664,opioid
2025-04-13,37.333333333333336,opioid
2025-04-20,38.666666666666664,opioid
2025-04-27,39.333333333333336,opioid
2025-05-04,33.333333333333336,opioid
2025-05-11,35.333333333333336,opioid
2025-05-18,26.0,opioid
2025-05-25,28.0,opioid
2025-06-01,29.333333333333332,opioid
2025-06-08,31.666666666666668,opioid
2025-06-15,29.333333333333332,opioid
2025-06-22,32.0,opioid
2025-06-29,29.0,opioid
2025-07-06,34.0,opioid
2025-07-13,37.0,opioid
2025-07-20,43.0,opioid
2025-07-27,45.666666666666664,opioid
2025-08-03,39.333333333333336,opioid
2025-08-10,33.333333333333336,opioid
2025-08-17,32.333333333333336,opioid
2025-08-24,35.0,opioid
2025-08-31,34.333333333333336,opioid
2025-09-07,34.333333333333336,opioid
2025-09-14,40.333333333333336,opioid
2025-09-21,37.0,opioid
2025-09-28,38.333333333333336,opioid
2025-10-05,34.666666666666664,opioid
2025-10-12,37.333333333333336,opioid
2025-10-19,38.666666666666664,opioid
2025-10-26,37.666666666666664,opioid
2025-11-02,47.0,opioid
2025-11-09,42.333333333333336,opioid
2025-11-16,46.333333333333336,opioid
2025-11-23,35.666666666666664,opioid
2025-11-30,50.333333333333336,opioid
2025-12-07,40.666666666666664,opioid
2025-12-14,42.666666666666664,opioid
2025-12-21,32.0,opioid
2025-12-28,37.0,opioid
2026-01-04,46.0,opioid
2026-01-11,43.333333333333336,opioid
2026-01-18,44.333333333333336,opioid
2026-01-25,44.333333333333336,opioid
2026-02-01,54.0,opioid
2026-02-08,54.0,opioid
2026-02-15,53.666666666666664,opioid
2026-02-22,58.666666666666664,opioid
2026-03-01,61.0,opioid
2026-03-08,59.666666666666664,opioid
2026-03-15,42.333333333333336,opioid
2026-03-22,39.666666666666664,opioid
2026-03-29,38.0,opioid
2025-03-30,41.333333333333336,stimulant
2025-04-06,40.666666666666664,stimulant
2025-04-13,38.333333333333336,stimulant
2025-04-20,36.333333333333336,stimulant
2025-04-27,41.0,stimulant
2025-05-04,37.333333333333336,stimulant
2025-05-11,40.333333333333336,stimulant
2025-05-18,35.666666666666664,stimulant
2025-05-25,29.333333333333332,stimulant
2025-06-01,37.0,stimulant
2025-06-08,39.666666666666664,stimulant
2025-06-15,39.0,stimulant
2025-06-22,34.333333333333336,stimulant
2025-06-29,34.0,stimulant
2025-07-06,42.666666666666664,stimulant
2025-07-13,39.666666666666664,stimulant
2025-07-20,41.333333333333336,stimulant
2025-07-27,43.0,stimulant
2025-08-03,32.666666666666664,stimulant
2025-08-10,35.333333333333336,stimulant
2025-08-17,33.666666666666664,stimulant
2025-08-24,38.0,stimulant
2025-08-31,34.333333333333336,stimulant
2025-09-07,31.666666666666668,stimulant
2025-09-14,34.0,stimulant
2025-09-21,35.666666666666664,stimulant
2025-09-28,38.0,stimulant
2025-10-05,37.0,stimulant
2025-10-12,41.0,stimulant
2025-10-19,43.0,stimulant
2025-10-26,42.666666666666664,stimulant
